"";"Res.no";"Agr..no";"Driver.ID";"Days";"Agent.group";"Driver.Country_Disp";"Driver.Age";"Pre.paid.Amount";"First.Licence.Year";"Check.out.Date";"Check.out.Time";"Booking.Date";"Booking.Time";"AD";"B";"BC";"BE";"BF";"BO";"BR";"BS";"CS";"DI";"FDW";"LD";"NV";"PAI";"SC";"SS";"SUB";"TF";"TG";"UPS";"Upgra";"C.O.Mileage";"Check.out.Station";"Group";"Charged.group";"Internet.Insurance.Net.Revenue";"Internet.Non.Insurance.Net.Revenue";"Rental_Cost_Res";"Sales.Channel.2";"Segment";"Past.Rentals.Entry";"Manufacturer";"Color";"Rate.title";"Status";"OnDesk.Insurance.Net.Revenue";"OnDesk.Non.Insurance.Net.Revenue"
"28177";"RES-352826";"NULL";438831;3;"Sixt";"Israel";"NULL";"0.00";"NULL";"10/6/2022";18;"9/6/2022";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"NULL";"609";"CXAR";"CXAR";"0.00";"0.00";"282.92";"Retail Brokers Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"4380";"RES-366299";"SM302-36704";139062;11;"Sixt";"Belgium";"49";"0.00";"2019";"14/7/2022";13;"8/7/2022";21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"44289";"302";"CXMR";"CXMR";"0.00";"0.00";"666.93";"Retail-Sixt-Sixt";"Retail";2;"Audi";"Black";"Sixt Import Rates";"IN";"0.00";"39.72"
"123";"RES-366180";"SM503-6463";91899;2;"Travel Corporate Agencies";"Greece";"56";"105.08";"2019";"11/7/2022";10;"8/7/2022";16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"43632";"503";"MDMR";"MDMR";"0.00";"0.00";"84.74";"Retail-Call center-Call center";"Retail";3;"Fiat";"White";"Economy Travel Market rates ";"IN";"0.00";"0.00"
"5489";"RES-348605";"SM002-74787";347209;2;"Sixt";"Greece";"52";"0.00";"2019";"1/6/2022";12;"1/6/2022";11;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"40904";"2";"EDMR";"EDMR";"19.14";"0.00";"100.54";"Retail-Sixt-Sixt";"Retail";1;"Skoda";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"33253";"RES-358253";"SM002-76729";444791;3;"Sixt";"Greece";"46";"0.00";"2017";"22/6/2022";13;"21/6/2022";20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"85503";"2";"CXMR";"CXMR";"0.00";"0.00";"105.50";"Retail Brokers Sixt";"Retail";0;"Audi";"White";"Sixt Import Rates";"IN";"56.93";"0.00"
"34856";"RES-351220";"SM002-77914";437250;29;"Sixt";"United Kingdom";"44";"0.00";"2019";"3/7/2022";15;"6/6/2022";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"18728";"2";"SXAR";"SXAR";"0.00";"0.00";"2300.89";"Retail-Sixt-Sixt";"Retail";0;"Audi";"Grey";"Sixt Import Rates";"IN";"1109.71";"105.24"
"24388";"RES-357122";"SM002-77924";443612;13;"Sixt";"United States of America";"69";"0.00";"2019";"3/7/2022";16;"19/6/2022";19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"43020";"2";"CXAR";"CXAR";"0.00";"0.00";"1636.43";"Retail-Sixt-Sixt";"Retail";0;"BMW";"Grey";"Sixt Import Rates";"IN";"80.73";"0.00"
"22569";"RES-342630";"SM712-16675";428799;6;"Sixt";"France";"63";"0.00";"2022";"20/6/2022";15;"24/5/2022";12;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"15";"712";"CFAR";"CFAR";"57.42";"21.78";"296.13";"Retail-Sixt-Sixt";"Retail";0;"Opel";"Black";"Sixt Import Rates";"IN";"0.00";"0.00"
"29839";"RES-363654";"SM003-32504";450530;1;"Walk in";"Czech Republic";"39";"0.00";"2018";"4/7/2022";20;"4/7/2022";10;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;"54726";"3";"MDMR";"MDMR";"11.75";"3.61";"79.33";"Retail-Call center-Call center";"Retail";0;"Hyundai";"Black";"Walk In Rates";"IN";"0.00";"0.00"
"41723";"RES-384192";"NULL";456618;21;"Sixt";"France";"53";"0.00";"NULL";"4/9/2022";20;"18/8/2022";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NULL";"302";"CXMR";"CXMR";"0.00";"0.00";"1109.91";"Retail-Sixt-Sixt";"Retail";0;"NULL";"NULL";"Sixt Import Rates";"CNC";"0.00";"0.00"
"59304";"RES-399004";"SM802-10866";490500;7;"Sixt";"France";"32";"0.00";"2022";"27/9/2022";12;"22/9/2022";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"4767";"802";"EDMR";"EDMR";"0.00";"0.00";"127.62";"Retail-Sixt-Sixt";"Retail";0;"Hyundai";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"26656";"RES-360175";"SM002-77632";446923;5;"Sixt";"Israel";"37";"0.00";"2017";"30/6/2022";9;"26/6/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"88277";"2";"CXMR";"CXMR";"0.00";"0.00";"212.82";"Retail-Sixt-Sixt";"Retail";0;"Audi";"Grey";"Sixt Import Rates";"IN";"0.00";"0.00"
"57907";"RES-396765";"SM503-9230";487870;5;"Sixt";"Israel";"30";"0.00";"2017";"18/9/2022";11;"16/9/2022";15;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;"84747";"503";"EDAR";"EDAR";"111.55";"0.00";"346.99";"Retail-Sixt-Sixt";"Retail";0;"VW";"Red";"Sixt Import Rates";"IN";"0.00";"0.00"
"65679";"NULL";"SM002-79894";460844;1;"Walk in";"Spain";"48";"0.00";"2019";"24/7/2022";11;"24/7/2022";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"72857";"2";"MDMR";"MDMR";"0.00";"0.00";"0.00";"Retail-Station-Station";"Retail";0;"Kia";"Red";"Walk In Rates";"IN";"NULL";"NULL"
"44495";"RES-376848";"SM503-8046";465054;2;"NULL";"Netherlands";"53";"318.21";"2017";"20/8/2022";9;"2/8/2022";12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"61185";"503";"SFMR";"SFMR";"0.00";"0.00";"280.19";"Retail Brokers Sixt";"Retail";0;"Nissan";"White";"Sixt Import Rates";"IN";"0.00";"0.00"
"48984";"RES-387992";"SM609-14856";477595;5;"NULL";"Israel";"65";"350.04";"2019";"1/9/2022";21;"27/8/2022";18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;"53889";"609";"CXAR";"CXAR";"0.00";"0.00";"282.29";"Retail Brokers Sixt";"Retail";0;"Audi";"White";"Sixt Import Rates";"IN";"14.12";"18.14"
